"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-14",,"73","52"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-15",,"72","48"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-16",,"79","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-17",,"84","57"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-18",,"78","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-19",,"78","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-20",,"83","50"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-21",,"89","55"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-22",,"89","57"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-23",,"85","55"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-24",,"71","54"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-25",,"80","43"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-26",,"87","55"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-27",,"90","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-28",,"88","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-29",,"89","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-30",,"86","54"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-05-31",,"90","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-01",,"88","55"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-02",,"87","59"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-03",,"91","56"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-04",,"95","58"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-05",,"100","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-06",,"101","74"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-07",,"98","73"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-08",,"96","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-09",,"98","69"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-10",,"96","72"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-11",,"91","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-12",,"88","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-13",,"80","52"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-14",,"85","57"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-15",,"89","61"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-16",,"95","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-17",,"92","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-18",,"96","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-19",,"97","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-20",,"95","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-21",,"95","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-22",,"94","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-23",,"97","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-24",,"92","67"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-25",,"93","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-26",,"91","62"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-27",,"93","63"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-28",,"88","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-29",,"87","60"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-06-30",,"85","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-01",,"87","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-02",,"90","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-03",,"88","69"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-04",,"92","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-05",,"91","68"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-06",,"92","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-07",,"89","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-08",,"86","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-09",,"89","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-10",,"93","70"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-11",,"88","69"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-12",,"98","64"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-13",,"98","69"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-14",,"98","72"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-15",,"97","74"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-16",,"96","73"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-17",,"97","70"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-18",,"100","73"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-19",,"100","70"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-20",,"102","73"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-21",,"95","71"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-22",,"93","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-23",,"90","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-24",,"79","66"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-25",,"75","65"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-07-26",,"78","62"
